Red,Blue,Yellow,Distance,Result,Expected
4.90,13.73,13.73,2.10,3,3
3.92,12.75,12.75,2.10,3,3
3.92,12.75,12.75,2.10,3,3
3.92,12.75,12.75,2.60,3,3
3.92,12.75,12.75,2.60,3,3
3.92,11.76,11.76,2.60,3,3
4.90,12.75,12.75,2.60,3,3
4.90,11.76,11.76,2.60,3,3
4.90,11.76,11.76,2.60,3,3
3.92,10.78,10.78,2.60,3,3
3.92,11.76,11.76,2.60,3,3
3.92,11.76,11.76,2.80,3,3
3.92,11.76,11.76,2.80,3,3
3.92,11.76,11.76,2.80,3,3
3.92,8.82,8.82,2.80,3,3
2.94,9.80,9.80,2.80,3,3
3.92,10.78,10.78,2.80,3,3
3.92,10.78,10.78,2.80,3,3
3.92,10.78,10.78,2.80,3,3
3.92,10.78,10.78,2.80,3,3
3.92,9.80,9.80,2.80,3,3
3.92,10.78,10.78,2.80,3,3
3.92,10.78,10.78,2.80,3,3
2.94,9.80,9.80,2.80,3,3
3.92,9.80,9.80,2.80,3,3
2.94,8.82,8.82,2.80,3,3
3.92,10.78,10.78,3.00,3,3
2.94,9.80,9.80,3.00,3,3
3.92,9.80,9.80,3.00,3,3
2.94,8.82,8.82,3.00,3,3
2.94,7.84,7.84,3.00,3,3
3.92,8.82,8.82,3.00,3,3
2.94,7.84,7.84,3.00,3,3
1.96,7.84,7.84,3.00,3,3
3.92,8.82,8.82,3.00,3,3
3.92,8.82,8.82,3.00,3,3
2.94,7.84,7.84,2.90,3,3
2.94,7.84,7.84,3.00,3,3
3.92,8.82,8.82,3.00,3,3
2.94,7.84,7.84,3.00,3,3
2.94,8.82,8.82,3.00,3,3
2.94,8.82,8.82,3.00,3,3
2.94,7.84,7.84,3.00,3,3
2.94,6.86,6.86,3.00,0,3
1.96,6.86,6.86,3.00,0,3
1.96,6.86,6.86,3.00,0,3
2.94,6.86,6.86,3.00,0,3
2.94,7.84,7.84,3.00,3,3
1.96,6.86,6.86,3.00,0,3
1.96,7.84,7.84,3.40,0,3
2.94,7.84,7.84,3.40,3,3
3.92,7.84,7.84,3.40,3,3
2.94,6.86,6.86,3.40,0,3
2.94,6.86,6.86,3.40,0,3
2.94,5.88,5.88,3.40,0,3
1.96,6.86,6.86,3.40,0,3
1.96,6.86,6.86,3.40,0,3
1.96,6.86,6.86,3.40,0,3
1.96,6.86,6.86,3.40,0,3
1.96,5.88,5.88,3.40,0,3
2.94,7.84,7.84,3.40,3,3
1.96,6.86,6.86,3.40,0,3
2.94,6.86,6.86,3.40,0,3
1.96,6.86,6.86,3.40,0,3
2.94,6.86,6.86,3.40,0,3
1.96,5.88,5.88,3.40,0,3
1.96,6.86,6.86,3.40,0,3
1.96,6.86,6.86,3.40,0,3
2.94,7.84,7.84,3.40,3,3
2.94,5.88,5.88,3.40,0,3
1.96,6.86,6.86,3.40,0,3
3.92,6.86,6.86,3.60,3,3
1.96,6.86,6.86,3.60,0,3
1.96,5.88,5.88,3.60,0,3
1.96,6.86,6.86,3.60,0,3
1.96,5.88,5.88,3.60,0,3